CodeGeneration,Code,Generation,Name,Latitude,Longitude,Altitude,Earliest annual mean,Latest annual mean,Status,StatusCode,Responsible Institute(s),Notes
LWI1,LWI,1,Lwiro,-2.25,28.8,,1958,1970,Closed,3,,
LYC1,LYC,1,Lycksele,64.612,18.748,270,2008,,Open,2,http://www.sgu.se,"in cooperation with IRF, Kiruna"
LYH1,LYH,1,Longyao,37.4,114.7,,2010,,Open,2,,
LYN1,LYN,1,Lynn Lake,56.85,-101.06,,1986,1986,Closed,3,,
LZH1,LZH,1,Lanzhou,36.087,103.845,1560,1959,2016,Closed,3,"http://www.bcmt.fr/
http://www.cea-igp.ac.cn/english/",Nearby metro line forced closure
LZV1,LZV,1,Lazarev,-69.967,12.9,,1960,1960,Closed,3,,
MAB1,MAB,1,Manhay,50.298,5.682,440,1932,,Open,2,,
MAI1,MAI,1,Vladivostok (Maitun),43.25,132.333,,1936,1948,Closed,3,,operation uncertain 1937-40
MAK1,MAK,1,Makerstoun,55.583,-2.517,,1841,1849,Closed,3,,
MAN1,MAN,1,Manila,14.578,120.975,,1889,1904,Closed,3,,
MAS1,MAS,1,Maisach,48.202,11.26,,1927,1935,Closed,3,,
MAW1,MAW,1,Mawson,-67.604,62.879,12,1955,,Open,2,"http://www.ga.gov.au
http://www.antarctica.gov.au",
MBC1,MBC,1,Mould Bay,76.315,-119.362,40,1962,1997,Closed,3,,
MBO1,MBO,1,Mbour,14.392,-16.958,7,1952,,Closed,3,http://www.bcmt.fr,closed 2020
MCH1,MCH,1,Mengcheng,33.6,116.817,0,2011,,Open,2,"Institute of Geophysics, China Earthquake Administration",
MCL1,MCL,1,Mt Clemens,42.6,-82.85,,,,Uncertain,0,US Air Force Geophysics Laboratory,variometer data from SPIDR (http://spidr.ngdc.noaa.gov/spidr/)
MCM1,MCM,1,Mcmurdo,-77.85,166.7,,,,Closed,3,US Antarctic Program,Data held on microfilm at Kyoto
MCP1,MCP,1,Monte Capellino,44.55,8.95,,1958,1962,Closed,3,,
MCQ1,MCQ,1,Macquarie Island,-54.5,158.95,8,1911,,Open,2,"http://www.ga.gov.au
http://www.antarctica.gov.au",operation not continuous before 1950
MDD1,MDD,1,Madrid,40.417,-3.683,,1879,1901,Closed,3,,
MDS1,MDS,1,Madras,13.067,80.25,,1851,1855,Closed,3,,
